 ID	Loại test	Tên test case	Điều kiện tiên quyết	Dữ liệu test	Các bước test	Kết quả mong muốn	Kết quả thực tế	Trạng thái	Người test	Ngày test	Nhận xét
Chức năng 1: Đăng nhập											
LOG-001	Test Auto	Hiển thị trang đăng nhập	Server chạy		1. Từ trang chủ, nhấn 'Login'. 	Hiển thị login.jsp	Trang login.jsp hiển thị đúng giao diện, form có đầy đủ ô username, password và nút "Đăng Nhập"	Pass	Thúy Vy	22/2/2026	
LOG-002	Test Auto	Đăng nhập thành công	User tồn tại	username = admin,  password = admin123	1. Từ trang chủ, nhấn 'Login'.  2. Nhập các thông tin hợp lên  3. Nhấn "Đăng nhập". 	Redirect trang home	Hệ thống chuyển hướng sang /home	Pass	Thúy Vy	22/2/2026	
LOG-003	Test Unit	Sai mật khẩu	User tồn tại	username = admin,  password = abc	1. Mock request trả về username, password 2. Mock DAO trả về user có password = "admin123" 3. Gọi doPost()	setAttribute("message", "Sai tên đăng nhập hoặc mật khẩu!") Forward về "/views/login.jsp"	Hệ thống set message và forward đúng trang	Pass	Thúy Vy	22/2/2026	
LOG-004	Test Unit	User không tồn tại	Không có user "test" trong DB	username = test,  password = 123	1. Mock request trả về username, password 2. Mock DAO trả về null 3. Gọi doPost()	setAttribute("message", "Sai tên đăng nhập hoặc mật khẩu!") Forward về "/views/login.jsp"	Hệ thống hiển thị thông báo lỗi "Sai tên đăng nhập hoặc mật khẩu"	Pass	Thúy Vy	22/2/2026	
LOG-005	Test Unit	Username rỗng		username = "" password = "123"	1. Mock request trả về username rỗng 2. Gọi doPost()	setAttribute("message", "Username không được để trống!") Forward về "/views/login.jsp"	Hệ thống set message và forward đúng trang	Pass	Thúy Vy	22/2/2026	
LOG-006	Test Unit	Password rỗng		username = "admin" password = ""	1. Mock request trả về password rỗng 2. Gọi doPost()	setAttribute("message", "Password không được để trống!") Forward về "/views/login.jsp"	Hệ thống set message và forward đúng trang	Pass	Thúy Vy	22/2/2026	
LOG-007	Test Unit	Remember me	User hợp lệ	username = admin,  password = admin123,  remember = on	1. Mock request parameter username, password, remember 2. Mock UserDAO trả về user hợp lệ 3. Gọi doPost() 4. Verify addCookie()	Lưu cookie có thời hạn 30 ngày	Cookie tên "user" được tạo, có thời hạn 30 ngày 	Pass	Thúy Vy	22/2/2026	
LOG-008	Test Unit	Tạo session	Login thành công	username = admin,  password = admin123,  remember = on	1. Mock request parameter 2. Mock UserDAO trả về user hợp lệ 3. Gọi doPost() 4. Verify session.setAttribute()	Session.user tồn tại	Hệ thống tạo cookie "user" thành công khi chọn “Ghi nhớ đăng nhập”.	Pass	Thúy Vy	22/2/2026	
Chức năng 2: Đăng Ký											
UT-REG-01	Test Unit	Tất cả rỗng		"", "", "", "", ""	1. Gọi register() 2. Truyền toàn bộ giá trị rỗng	Không gọi userDAO.create()		Not Executed	Minh Hiếu	30/1/2026	
UT-REG-02	Test Unit	Thiếu fullname	Username & Email chưa tồn tại	"", "test1", "a@gmail.com ", "123", "123"	1. Mock checkUsernameExist=false 2. Mock checkEmailExist=false 3. Gọi register()	Không gọi create()		Not Executed	Minh Hiếu	30/1/2026	
UT-REG-03	Test Unit	Password không khớp	Username & Email chưa tồn tại	"Test", "test1", "a@gmail.com ", "123", "456"	1. Mock checkUsernameExist=false 2. Mock checkEmailExist=false 3. Gọi register()	Không gọi create()		Not Executed	Minh Hiếu	30/1/2026	
UT-REG-04	Test Unit	Username đã tồn tại	mock checkUsernameExist = true	mock checkUsernameExist = true	1. Gọi register()	Không gọi create()		Not Executed	Minh Hiếu	30/1/2026	
UT-REG-05	Test Unit	Email đã tồn tại	Username chưa tồn tại	Mock checkUsernameExist=false Mock checkEmailExist=true	1. Gọi register()	Không gọi create()		Not Executed	Minh Hiếu	30/1/2026	
UT-REG-06	Test Unit	Đăng ký hợp lệ	Username & Email chưa tồn tại	"Test","test1", "test@gmail.com ", "123", "123"	1. Mock checkUsernameExist=false 2. Mock checkEmailExist=false 3. Gọi register()	Gọi userDAO.create() 1 lần		Not Executed	Minh Hiếu	30/1/2026	
SEL-REG-01	Test Auto	Hiển thị lỗi khi rỗng		Tất cả input rỗng	1. Mở trang Register 2. Nhấn "Đăng ký"	Hiển thị lỗi "Vui lòng điền đầy đủ thông tin!"		Not Executed	Minh Hiếu	30/1/2026	
SEL-REG-02	Test Auto	Password không khớp		fullname="Test",  username= "test1",  email= "test@gmail.com",  password= "123",  repeat= "456"	1. Mở trang Register 2. Nhập dữ liệu 3. Nhấn "Đăng ký"	Hiển thị lỗi "Mật khẩu không khớp"		Not Executed	Minh Hiếu	30/1/2026	
SEL-REG-03	Test Auto	Đăng ký thành công		fullname="Test",  username= "test1",  email= "test@gmail.com",  password= "123",  repeat= "123"	1. Mở trang Register 2. Nhập đầy đủ thông tin 3. Nhấn "Đăng ký" 4. Kiểm tra chuyển trang	Hiển thị thông báo "Đăng ký thành công! Bạn có thể đăng nhập ngay."		Not Executed	Minh Hiếu	30/1/2026	
Chức năng 3: Quên mật khẩu											
UT-FP-01	Test Unit	Username không tồn tại	Mock findById = null	"abc", "a@gmail.com"	1. Mock userDAO.findById trả null 2. Gọi doPost()	Hiển thị "Tài khoản không tồn tại!"		Not Executed	Minh Hiếu	30/1/2026	
UT-FP-02	Test Unit	Email không khớp	User tồn tại	"test1", "wrong@gmail.com"	1. Mock findById trả user(email="test@gmail.com ") 2. Gọi doPost()	Hiển thị "Email không khớp với tài khoản!"		Not Executed	Minh Hiếu	30/1/2026	
UT-FP-03	Test Unit	Hợp lệ (gửi mail thành công)	User tồn tại	"test1", "test@gmail.com"	1. Mock findById trả user đúng 2. Mock mailService.send() không lỗi 3. Gọi doPost()	Hiển thị "Tài khoản không tồn tại!"		Not Executed	Minh Hiếu	30/1/2026	
UT-FP-04	Test Unit	Lỗi gửi mail	User tồn tại	"test1", "test@gmail.com"	1. Mock findById trả user đúng 2. Mock send() throw Exception 3. Gọi doPost()	Hiển thị "Mật khẩu đã được gửi về email!"		Not Executed	Minh Hiếu	30/1/2026	
SEL-FP-01	Test Auto	Username không tồn tại	Ở trang /forgot_pw	- username="wrong" - email="test@gmail.com"	1. Mở /forgot_pw 2. Nhập username và email 3. Nhấn submit	Hiển thị "Tài khoản không tồn tại!"		Not Executed	Minh Hiếu	30/1/2026	
SEL-FP-02	Test Auto	Password không khớp	Ở trang /forgot_pw	- username="test1" - email="wrong@gmail.com"	1. Nhập dữ liệu 2. Nhấn submit	Hiển thị "Email không khớp với tài khoản!"		Not Executed	Minh Hiếu	30/1/2026	
SEL-FP-03	Test Auto	Thành công	Ở trang /forgot_pw	- username="test1" - email="test@gmail.com"	1. Nhập đúng username & email 2. Nhấn submit	Hiển thị "Mật khẩu đã được gửi về email!"		Not Executed	Minh Hiếu	30/1/2026	
Chức năng 4: Cập nhập Profile											
UT-PRO-01	Test Unit	Chưa login	session.user = null		1. Mock session không có user 2. Gọi doPost()	Redirect về /login		Not Executed	Minh Hiếu	30/1/2026	
UT-PRO-02	Test Unit	Update profile thành công	User đã đăng nhập	fullname="Test" email="test@gmail.com" action="updateProfile"	1. Mock findById trả user 2. Gọi doPost()	Gọi userDAO.update() 1 lần Message = "Cập nhật thông tin hồ sơ thành công!"		Not Executed	Minh Hiếu	30/1/2026	
UT-PRO-03	Test Unit	Đổi mật khẩu thành công	User đã đăng nhập	current="123" new="456" action="updatePassword"	1. Mock user.password="123" 2. Gọi doPost()	Gọi update() 1 lần Message="Đổi mật khẩu thành công!"		Not Executed	Minh Hiếu		
